X,Y,FID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,VDist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period_,Latitude,Longitude,Link_Impor
-93.88847,29.96046,1,83,TOTAL PETROCHEMICALS & REFINING USA,TOTAL SA,Port Arthur,Texas,3,245,117,80,0,0,43,14.5,274.5,60,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.96046,-93.88847,1
-101.415073,32.270992,2,84,ALON USA ENERGY INC,DELEK GROUP LTD,Big Spring,Texas,3,74,28,23.5,0,0,21.5,5,61,0,7.6,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,32.270992,-101.415073,0
-82.596408,38.376602,3,87,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,Catlettsburg,Kentucky,2,292,130,104,0,0,57,38.5,273.5,0,35.4,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,38.376602,-82.596408,1
-81.413878,40.772929,4,89,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,Canton,Ohio,2,100,35,26,0,0,21.5,8.5,92.5,0,14.8,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,40.772929,-81.413878,1
-92.994345,44.851007,5,92,ST PAUL PARK REFINING CO LLC,MARATHON PETROLEUM CORP,Saint Paul,Minnesota,2,103.7,50.6,33,0,0,24.9,17.2,113,0,14.6,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,44.851007,-92.994345,1
-118.236677,33.818578,6,97,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,Carson,California,5,382,205,102.5,89.8,0,79,73,319,109.1,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,33.818578,-118.236677,1
-122.734766,48.884624,7,98,BP West Coast Products LLC,BP PLC,Ferndale,Washington,5,251,112,0,65,0,65,26,154.8,61.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,48.884624,-122.734766,1
-149.604069,70.324832,8,99,CONOCOPHILLIPS ALASKA INC,CONOCOPHILLIPS,Prudhoe Bay,Alaska,5,16,0,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,70.324832,-149.604069,0
-148.37813,70.253586,9,100,BP EXPLORATION ALASKA INC,BP PLC,Prudhoe Bay,Alaska,5,8,0,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,70.253586,-148.37813,0
-93.511874,32.59107,10,110,CALUMET PRINCETON REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",Princeton,Louisiana,3,8.7,7,0,0,0,0,0,0,0,2,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,32.59107,-93.511874,0
-93.411128,32.798531,11,111,CALUMET COTTON VALLEY REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",Cotton Valley,Louisiana,3,14,0,0,0,0,0,0.5,6.5,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,32.798531,-93.411128,0
-97.67768,38.341628,12,115,CHS MCPHERSON REFINERY INC,CHS INC,Mcpherson,Kansas,2,104.4,46,24.5,43,0,24.6,25.4,83.5,30,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,38.341628,-97.67768,1
-108.7681,45.658374,13,116,Cenex Harvest States Coop,CHS INC,Laurel,Montana,4,61.1,32.2,16.5,0,0,12.5,5.3,62,16,19.8,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,45.658374,-108.7681,1
-118.410994,33.911422,14,119,CHEVRON USA INC,CHEVRON CORP,El Segundo,California,5,290.5,169.1,73.8,55,0,49,66.1,243.5,76.7,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,33.911422,-118.410994,1
-122.398665,37.94978,15,120,CHEVRON USA INC,CHEVRON CORP,Richmond,California,5,257.2,123.5,90,103.4,0,71.3,85.9,382.2,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,37.94978,-122.398665,1
-106.395613,31.767512,16,123,WESTERN REFINING COMPANY LP,MARATHON PETROLEUM CORP,El Paso,Texas,3,138,55.7,35,0,0,28,19.8,119.5,0,4,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,31.767512,-106.395613,0
-111.923936,40.824744,17,124,CHEVRON USA INC,CHEVRON CORP,Salt Lake City,Utah,4,57.6,27.5,15.5,0,0,8.5,6.9,49.7,10,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,40.824744,-111.923936,1
-88.489914,30.344744,18,125,CHEVRON USA INC,CHEVRON CORP,Pascagoula,Mississippi,3,375.2,330,88,119,0,101.6,21.5,284.3,104,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,30.344744,-88.489914,1
-95.281964,32.360432,19,147,DELEK REFINING LTD,DELEK GROUP LTD,Tyler,Texas,3,76,28,20.3,0,0,17.5,4.7,77,7.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,32.360432,-95.281964,0
-95.206799,29.721442,20,148,PASADENA REFINING SYSTEMS INC,PETROBRAS AMERICA INC,Pasadena,Texas,3,115.7,38,52,0,0,23,12.5,79,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.721442,-95.206799,1
-111.910603,40.867508,21,150,Silver Eagle Refining,SILVER EAGLE REFINING INC,Woods Cross,Utah,4,15.7,7,0,0,0,0,0,4,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,40.867508,-111.910603,1
-98.459995,29.347637,22,153,CALUMET SAN ANTONIO REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",San Antonio,Texas,3,21,0,0,0,0,6,0,14,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.347637,-98.459995,1
-90.907845,32.385998,23,159,ERGON REFINING INC,ERGON INC,Vicksburg,Mississippi,3,27.3,18,0,0,0,0,0,23,0,10,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,32.385998,-90.907845,1
-91.169797,30.486272,24,161,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,Baton Rouge,Louisiana,3,523.2,246.1,244.5,27,0,80,41,526.5,123.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,30.486272,-91.169797,1
-108.434778,45.814531,25,162,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,Billings,Montana,4,62.9,32.3,23.7,6.2,0,12.5,5.1,60.9,10,14.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,45.814531,-108.434778,1
-94.976798,29.761431,26,163,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,Baytown,Texas,3,584,297,228,29.9,0,127.5,41,794,96,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.761431,-94.976798,1
-122.138319,38.072007,27,164,VALERO REFINING CO CALIFORNIA,VALERO ENERGY CORP,Benicia,California,5,149,85.5,75.3,34,0,37.2,21.3,169.3,29.5,9,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,38.072007,-122.138319,1
-95.605823,37.049525,28,168,COFFEYVILLE RESOURCES RFG & MKTG,CVR ENERGY,Coffeyville,Kansas,2,136,46,36,0,0,26,10,124,25,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,37.049525,-95.605823,1
-111.920665,40.838556,29,176,BIG WEST OIL CO,FJ MANAGEMENT INC,North Salt Lake,Utah,4,33,0,12.5,0,0,8.5,8,22.5,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,40.838556,-111.920665,0
-97.167756,34.632945,30,177,WYNNEWOOD REFINING CO,CVR ENERGY,Wynnewood,Oklahoma,2,78,40.3,22.2,18.2,0,18.7,5.5,67.5,0,7,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,34.632945,-97.167756,0
-108.427359,35.488468,31,179,WESTERN REFINING SOUTHWEST INC,MARATHON PETROLEUM CORP,Gallup,New Mexico,3,27,0,12.2,0,0,7.3,2,13.1,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,35.488468,-108.427359,0
-104.390979,32.844821,32,185,HOLLYFRONTIER NAVAJO REFINING LLC,HOLLYFRONTIER CORP,Artesia,New Mexico,3,124,33.8,30,18,0,24,9.1,118,0,7,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,32.844821,-104.390979,1
-111.295316,47.523212,33,187,CALUMET MONTANA REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",Great Falls,Montana,4,35,20,3,24,0,1,2.2,14.5,0,10,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,47.523212,-111.295316,1
-87.611011,33.200487,34,190,HUNT REFINING CO,HUNT CONSLD INC,Tuscaloosa,Alabama,3,50,18,0,20.5,0,15.3,4.2,49.1,32,16.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,33.200487,-87.611011,1
-118.236861,33.798301,35,191,VALERO REFINING CO CALIFORNIA,VALERO ENERGY CORP,Wilmington Asphalt Plant,California,5,6.5,5,0,0,0,0,0,0,0,3.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,33.798301,-118.236861,1
-118.917953,35.294719,36,202,KERN OIL & REFINING CO,KERN OIL & REFINING CO,Bakersfield,California,5,27,0,0,0,0,5.8,0,14,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,35.294719,-118.917953,1
-93.0391,44.7633,37,203,Flint Hills Resources LP,KOCH INDUSTRIES INC,Saint Paul,Minnesota,2,345,234,94.3,67,0,50.8,30.5,336,75,45,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,44.7633,-93.0391,1
-97.525965,27.832974,38,204,Flint Hills Resources LP,KOCH INDUSTRIES INC,Corpus Christi,Texas,3,330,87.5,110,16,0,0,23.9,354.8,15.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,27.832974,-97.525965,1
-88.0562,30.7886,39,206,SHELL CHEMICAL LP,ROYAL DUTCH/SHELL GROUP,Saraland,Alabama,3,95.5,29,0,0,0,22,1.2,76,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,30.7886,-88.0562,1
-118.233663,33.779055,40,209,ULTRAMAR INC,VALERO ENERGY CORP,Wilmington Refinery,California,5,87,46,56.3,0,0,18,22,144,28.8,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,33.779055,-118.233663,1
-90.082597,35.084704,41,217,VALERO REF COMPANY TENNESSEE LLC,VALERO ENERGY CORP,Memphis,Tennessee,2,185,0,70,26.5,0,36,12.7,129,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,35.084704,-90.082597,1
-75.257767,39.840304,42,223,PAULSBORO REFINING CO LLC,PBF ENERGY CO LLC,Paulsboro,New Jersey,1,166,90,55,0,0,32,11.2,144.1,27,21,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,39.840304,-75.257767,1
-94.074933,30.064923,43,225,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,Beaumont,Texas,3,384.4,148.8,115,70,0,143.5,59.9,343.3,46.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,30.064923,-94.074933,1
-118.332317,33.853208,44,226,TORRANCE REFINING CO LLC,PBF ENERGY CO LLC,Torrance,California,5,166.2,102.3,103.6,28.3,0,20,30,153.4,62,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,33.853208,-118.332317,1
-88.183309,41.41471,45,227,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,Joliet,Illinois,2,275,126.7,99.3,0,0,52.6,29.1,247.5,57.5,15.1,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,41.41471,-88.183309,1
-89.974393,29.935151,46,228,Chalmette Refining LLC,PBF ENERGY CO LLC,Chalmette,Louisiana,3,197,169,75.6,0,0,52.7,16.8,188.6,30,15,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.935151,-89.974393,1
-89.941198,29.933813,47,237,VALERO REFINING - MERAUX LLC,VALERO ENERGY CORP,Meraux,Louisiana,3,128,60,0,48.7,0,32,0,95,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.933813,-89.941198,1
-92.067312,46.690572,48,238,SUPERIOR REFINING COMPANY LLC,HUSKY ENERGY INC,Superior,Wisconsin,2,50,23.5,11.3,0,0,9.3,1.7,40.5,0,16,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,46.690572,-92.067312,1
-93.792592,32.467561,49,244,CALUMET SHREVEPORT REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",Shreveport,Louisiana,3,60,28,0,0,0,12,0,52.3,0,6.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,32.467561,-93.792592,0
-101.365597,35.693187,50,255,WRB REFINING LP,WRB REFINING LP,Borger,Texas,3,154,80,56,0,0,31.3,60,187.4,28.4,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,35.693187,-101.365597,1
-95.747538,29.077881,51,256,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Sweeny,Texas,3,278.9,132.1,107.7,0,0,41.5,31.7,378.6,78.7,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.077881,-95.747538,1
-111.904823,40.886581,52,257,HOLLYFRONTIER WOODS CROSS REFINING L,HOLLYFRONTIER CORP,Woods Cross,Utah,4,41.4,0,17.5,15,0,8.4,8.3,26.2,0,1.8,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,40.886581,-111.904823,1
-91.210811,30.477376,53,262,PLACID REFINING CO,PLACID OIL CO,Port Allen,Louisiana,3,82.5,27,25.5,0,0,11,7.5,56,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,30.477376,-91.210811,0
-80.629399,40.610826,54,266,ERGON WEST VIRGINIA INC,ERGON INC,Newell,West Virginia,1,23,8.6,0,0,0,4.7,0,24.1,0,0.7,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,40.610826,-80.629399,0
-119.047922,35.38733,55,271,SAN JOAQUIN REFINING CO INC,SAN JOAQUIN REFINING CO INC,Bakersfield,California,5,25,14.3,0,0,5,0,0,5.4,0,8,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,35.38733,-119.047922,0
-90.067283,38.845944,56,275,WRB REFINING LP,WRB REFINING LP,Wood River,Illinois,2,367.5,196.5,101,56.7,0,79.7,21.8,287.9,83.7,28,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,38.845944,-90.067283,1
-90.40413,30.001717,57,276,SHELL OIL PRODUCTS US,ROYAL DUTCH/SHELL GROUP,Norco,Louisiana,3,250,91.3,118.8,44,0,40,16.8,185.5,28.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,30.001717,-90.40413,1
-122.562522,48.494369,58,278,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,Anacortes,Washington,5,120,50.5,54.3,0,0,30,19.1,111.8,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,48.494369,-122.562522,1
-122.111017,38.019952,59,279,Shell Oil Products US,ROYAL DUTCH/SHELL GROUP,Martinez,California,5,158,102,72,42.9,0,31,27.5,268,48,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,38.019952,-122.111017,1
-83.453963,41.680021,60,287,BP-HUSKY REFINING LLC,BP HUSKY REFINING LLC,Toledo,Ohio,2,160,71.5,55,31,0,42,11.5,113,35,9,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,41.680021,-83.453963,1
-84.12464,40.715965,61,288,LIMA REFINING COMPANY,HUSKY ENERGY INC,Lima,Ohio,2,185,53,45.3,26,0,55,23.2,158,23,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,40.715965,-84.12464,1
-89.979839,29.684405,62,289,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Belle Chasse,Louisiana,3,267,104.2,107,0,0,48.5,35,197.7,26,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.684405,-89.979839,1
-84.614561,37.069685,63,290,CONTINENTAL REFINING COMPANY LLC,CONTINENTAL REFINING CO LLC,Somerset,Kentucky,2,6.3,0,0,0,0,1.3,0,2.3,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,37.069685,-84.614561,1
-87.480268,41.668103,64,297,BP PRODUCTS NORTH AMERICA INC,BP PLC,Whiting,Indiana,2,440,270,184,0,0,65,59.9,427.8,102,30,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,41.668103,-87.480268,1
-100.883767,46.849832,65,300,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,Mandan,North Dakota,2,74,0,30.6,0,0,13.6,4.8,42.8,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,46.849832,-100.883767,0
-94.933456,29.374692,66,301,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,Galveston Bay,Texas,3,616,259,204.5,163,0,142.5,58,420,33,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.374692,-94.933456,1
